Product	CO2e	
Butter	9.2	Butter
Margarine-Butter blend	3.4	Butter & Margarine (Melanges) z.B. Rama mit Butter
Margarine (low-fat)	1.15	Halbfettmargarine (max. 41 % Fett) z.B. Lätta
Olive oil	3.06	Olivenöl
Palm oil	1.41	Palmfett zum Braten
Vegetable fat	1.97	Pflanzencreme z.B. Rama Culinesse
Rapeseed oil	2.71	Rapsöl
Sunflower oil	2.24	Sonnenblumenöl
Vegan butter	1.67	Veganes Streichfett z.B. Becel vegan
Margarine	1.78	Vollfettmargarine (min. 80% Fett) z.B. Flora
Fish	6.29	Fisch (frisch)
Fish (frozen)	4.09	Fisch (gefroren)
Shrimps (frozen)	12.59	Garnelen (gefroren)
Eggs	2.04	Eier
Meatballs	2.58	Frikadellen
Minced meat (mix)	5.59	Hackfleisch, gemischt
Burger (frozen)	8.14	Hamburger Patty (gefroren)
Chicken (frozen)	3.92	Hähnchenfleisch (gefroren)
Chicken	3.7	Hähnchenfleisch, frisch
Lamb	7.7	Lamm
Turkey	4.22	Putenfleisch
Beef	12.29	Rindfleisch
Pork	4.15	Schweinefleisch
Game	10.48	Wildfleisch
Sausage	3.62	Wurst
Eggplant	0.29	Aubergine
Cauliflower	0.43	Blumenkohl
Broccoli	0.56	Brokkoli
Broccoli (frozen)	0.93	Brokkoli (gefroren)
Mushrooms	1.31	Champignon (hell oder dunkel)
Mushrooms (canned)	2.55	Champignons (Dose)
Lettuce	0.2	Eisbergsalat
Lamb's lettuce	0.27	Feldsalat
Fennel	0.24	Fenchel
Kale (jar)	0.8	Grünkohl (Glas)
Kale	0.35	Grünkohl, frisch
Cucumber	0.45	Gurke
Carrots	0.27	Karotte/Möhre
Potatoes	0.4	Kartoffeln
Cherry tomatoes	0.91	Kirschtomaten
Kohlrabi	0.43	Kohlrabi
Pumpkin	0.21	Kürbis
Spring onion	0.21	Lauch
Corn (canned)	1.2	Mais (Dose)
Bell pepper	0.64	Paprika
Radish	0.23	Rettich
Brussel sprouts	0.28	Rosenkohl, frisch
Brussel sprouts (frozen)	0.59	Rosenkohl, gefroren
Red beets (jar)	1.36	Rote Beete (Glas)
Red beets	0.32	Rote Beete, frisch
Red cabbage	0.42	Rotkohl (frisch)
Red cabbage (jar)	0.96	Rotkohl (Glas)
Rocket	0.27	Rucola
Salad (mix)	0.28	Salatmischung, gewaschen
Celery	0.33	Sellerie
Green asparagus	0.58	Spargel, grün
White asparagus	0.58	Spargel, weiß
Spinach (frozen)	0.63	Spinat (gefroren)
Spinach	0.29	Spinat, frisch
Sweet potato	0.41	Süßkartoffel
Tomato	0.77	Tomate
Tomato (canned)	1.87	Tomate (Dose)
Tomato (greenhouse)	2.92	Tomate (Gewächshaus)
Cabbage	0.4	Weißkohl
Savoy cabbage	0.3	Wirsing
Zucchini	0.25	Zucchini
Onions	0.25	Zwiebeln
Bun (whole wheat)	0.6	Brötchen, Vollkorn
Bun	0.62	Brötchen, Weißmehl
Bulgur	0.52	Bulgur
Couscous	0.44	Couscous
Oats	0.36	Haferflocken
Millet	0.52	Hirse
Knäckebrot	0.53	Knäckebrot
Noodles	0.46	Nudeln
Noodles (whole wheat)	0.44	Nudeln, Vollkorn
Quinoa	0.65	Quinoa
Rice	3.05	Reis
Toast	0.48	Toast
Toast (whole wheat)	0.46	Toast, Vollkorn
Bread (whole wheat)	0.59	Vollkornbrot
Bread	0.61	Weißbrot
Flour	0.34	Weizenmehl
Beans	0.74	Bohnen
Beans (canned)	1.21	Bohnen (Dose)
Peas	0.78	Erbsen, grün
Peas (canned)	1.24	Erbsen, grün (Dose)
Peanuts	0.67	Erdnüsse, ganz
Chickpeas (canned)	1.25	Kichererbsen (Dose)
Linseed	1.16	Leinsamen
Lentils (canned)	1.46	Linsen (Dose)
Lentils (dried)	0.61	Linsen, getrocknet
Tofu	1.66	Tofu
Walnuts	0.95	Walnüsse, ganz
Butter milk	1.16	Buttermilch
Creme fraiche	4.19	Creme Fraiche (min. 30% Fett)
Feta	6.47	Fetakäse
Cream cheese	5.65	Frischkäse
Milk (UHT)	1.38	H-Milch
Yogurt	2.37	Joghurt
Cooking cream	0.88	Kochcreme (15% Fett) z.B. Rama Cremefine zum Kochen
Cheese	5.82	Käse
Quark (low-fat)	2.52	Magerquark
Milk	1.44	Milch
Mozzarella	4.34	Mozzarella
Quark	3.4	Quark (40 % Fett)
Cream	4.31	Sahne
Cooking cream	1.03	Sahne Alternative (19 % Fett) z.B. Rama Cremefine zum Aufschlagen
Sour cream (low-fat)	3.05	Saure Sahne (min. 10 % Fett)
Sour cream	3.66	Schmand (mind. 20 % Fett)
Pineapple (canned)	1.71	Ananas (Dose)
Pineapple	0.74	Ananas, frisch
Apple	0.25	Apfel
Apricot (canned)	1.7	Aprikosen (Dose)
Apricot	0.54	Aprikosen, frisch
Avocado	0.51	Avocado
Banana	0.57	Banane
Pear	0.29	Birne
Blackberry	0.69	Brombeeren
Strawberries (frozen)	0.71	Erdbeeren (gefroren)
Strawberries	0.32	Erdbeeren, frisch
Figs	0.89	Feigen
Pomegranate	0.39	Granatapfel
Blueberries (frozen)	0.64	Heidelbeeren (gefroren)
Blueberries	0.54	Heidelbeeren, frisch
Raspberries	1.2	Himbeere, frisch
Raspberries (frozen)	0.66	Himbeere, gefroren
Cherries	0.22	Kirschen
Kiwi	0.66	Kiwi
Mango	1.73	Mango
Passion fruit	2.3	Maracuja /Passionsfrucht
Nectarine	0.32	Nektarine
Olives	1.45	Oliven
Orange	0.35	Orange / Apfelsine
Peach	0.32	Pfirsich
Peach (canned)	1.52	Pfirsich (Dose)
Plums	0.22	Pflaume
Raisins	0.93	Rosinen
Gooseberries	0.69	Stachelbeeren
Water melon	0.35	Wassermelone
Grapes	0.37	Weintrauben
Lemon	0.36	Zitrone
Vegetable stock	1.49	Gemüsebrühe
Honey	1.92	Honig
Chicken stock	1.51	Hühnerbrühe
Coconut milk	0.54	Kokosmilch
Powdered sugar	0.49	Puderzucker
Beef stock	1.78	Rinderbrühe
Soy drink	0.67	Soja Drink
Sugar	0.6	Zucker